      8.10000     -9.23451     -9.54484     -9.05732
      8.30000     -9.32218     -9.56043     -9.08464
      8.50000     -9.42387     -9.67022     -9.11818
      8.70000     -9.51332     -9.77946     -9.21000
      8.90000     -9.63665     -9.87178     -9.34167
      9.10000     -9.71474     -9.97988     -9.40967
      9.30000     -9.75156     -10.0185     -9.46924
      9.50000     -9.78588     -10.0551     -9.52600
      9.70000     -9.82865     -10.1093     -9.57231
      9.90000     -9.86884     -10.1754     -9.62634
      10.1000     -9.93430     -10.2642     -9.68789
      10.3000     -10.0238     -10.3718     -9.75626
      10.5000     -10.1117     -10.4592     -9.81371
      10.7000     -10.2067     -10.5509     -9.86288
      10.9000     -10.3082     -10.6331     -9.94994
      11.1000     -10.4130     -10.6799     -10.0466
      11.3000     -10.5069     -10.7143     -10.1635
      11.5000     -10.5748     -10.7228     -10.2751
